Date,DC,Baltimore,Detroit
1/1/1820,13247,62738,
1/1/1830,18826,80620,
1/1/1840,23364,102313,9102
1/1/1850,40001,169054,21020
1/1/1860,61122,212418,45620
1/1/1870,109199,267354,79580
1/1/1880,147293,332313,116300
1/1/1890,230392,434439,205900
1/1/1900,278718,508957,285700
1/1/1910,331069,558485,465800
1/1/1920,437571,733826,993100
1/1/1930,486869,804874,1569000
1/1/1940,663091,859100,1623000
1/1/1950,802178,949708,1850000
1/1/1960,763956,939024,1670000
1/1/1970,756510,905759,1511000
1/1/1980,638333,786775,1203000
1/1/1990,606900,736014,1028000
4/1/1990,606900,736014,1028000
7/1/1990,603814,734935,1029000
7/1/1991,593239,732135,1021000
7/1/1992,584183,724671,1016000
7/1/1993,576358,714550,1012000
7/1/1994,564982,701377,1008000
7/1/1995,551273,687287,1004000
7/1/1996,538273,671828,995200
7/1/1997,528752,657604,975500
7/1/1998,521426,645664,967400
7/1/1999,519000,632681,965100
7/1/2000,571744,648654,945300
7/1/2001,578042,645253,936900
7/1/2002,579585,642246,928900
7/1/2003,577777,642324,926900
7/1/2004,579796,641004,924000
7/1/2005,582049,640064,921100
7/1/2006,583978,640961,918800
7/1/2007,586409,640150,917200
7/1/2008,590074,638091,912600
7/1/2009,599657,637418,910900
4/1/2010,601723,620961,713800
7/1/2011,619020,620216,706200
7/1/2012,632323,621342,701500
